District,Category,Stage_of_GW_Extraction_pct,Annual_GW_Recharge_BCM,Annual_GW_Draft_BCM,Net_GW_Availability_BCM,No_of_Assessment_Units,Over_Exploited_Units,Critical_Units,Semi_Critical_Units,Safe_Units,Primary_Aquifer,Avg_Depth_to_Water_m,Pre_Monsoon_Depth_m,Post_Monsoon_Depth_m,Fluoride_Risk,Salinity_Risk,Nitrate_Risk,Major_Water_Source,Annual_Rainfall_mm,Irrigation_Dependency_pct,Key_Issue
Chennai,Over-Exploited,121.7,0.06,0.073,0.0,3,3,0,0,0,Alluvial/Crystalline,8.2,10.1,6.3,Low,High,Medium,Groundwater+Surface,1400,45,Saltwater intrusion due to over-extraction and coastal proximity
Coimbatore,Over-Exploited,105.3,0.38,0.40,0.0,38,22,6,4,6,Hard Rock/Crystalline,12.5,15.2,9.8,Low,Low,High,Groundwater,695,72,High agricultural and industrial demand exceeding recharge
Tiruppur,Over-Exploited,112.4,0.21,0.236,0.0,28,18,5,3,2,Hard Rock/Crystalline,14.1,17.3,11.2,Low,Medium,High,Groundwater,695,68,Textile dyeing industry causing high extraction and contamination
Vellore,Over-Exploited,103.8,0.29,0.301,0.0,20,12,4,2,2,Hard Rock/Crystalline,11.8,14.5,9.1,Medium,Low,Medium,Groundwater,920,65,Industrial effluents and high extraction depleting aquifers
Krishnagiri,Over-Exploited,101.2,0.31,0.314,0.0,22,13,4,3,2,Hard Rock/Crystalline,13.2,16.1,10.4,Low,Low,Low,Groundwater,835,70,Intensive horticulture driving over-extraction
Dharmapuri,Over-Exploited,108.6,0.28,0.304,0.0,18,11,3,2,2,Hard Rock/Crystalline,15.4,18.9,12.1,Low,Low,Low,Groundwater,835,74,Deep borewell proliferation for mango and banana cultivation
Dindigul,Critical,92.4,0.33,0.305,0.028,25,8,7,5,5,Hard Rock/Crystalline,11.6,14.2,9.0,Low,Low,Medium,Groundwater,845,66,Declining levels due to paddy and banana irrigation demand
Madurai,Critical,89.7,0.41,0.368,0.042,32,7,9,8,8,Hard Rock/Alluvial,9.8,12.4,7.6,Low,Medium,Medium,Groundwater+Surface,855,62,Urban expansion and paddy cultivation stressing aquifers
Salem,Critical,94.1,0.44,0.414,0.026,35,10,8,9,8,Hard Rock/Crystalline,10.9,13.6,8.3,Low,Low,Low,Groundwater,915,64,Steel industry and paddy cultivation driving high extraction
Erode,Critical,91.8,0.36,0.330,0.030,30,9,8,7,6,Hard Rock/Crystalline,11.2,13.9,8.7,Low,Low,Medium,Groundwater+Surface,758,67,Textile and sugarcane industries causing high groundwater use
